u,v,pen
-0.00054,0.04888,1
-0.00107,0.05081,1
-0.00161,0.05274,1
-0.00114,0.05461,1
-0.00011,0.05418,1
0.00108,0.05256,1
0.00226,0.05095,1
0.00344,0.04933,1
0.00462,0.04772,1
0.00570,0.04648,1
0.00608,0.04830,1
0.00759,0.04799,1
0.00886,0.04644,1
0.01004,0.04484,1
0.01088,0.04303,1
0.01159,0.04345,1
0.01220,0.04536,1
0.01323,0.04401,1
0.01401,0.04219,1
0.01453,0.04026,1
0.01594,0.04014,1
0.01451,0.03874,1
0.01309,0.03734,1
0.01166,0.03594,1
0.01023,0.03453,1
0.01049,0.03480,1
0.01190,0.03621,1
0.01332,0.03763,1
0.01473,0.03904,1
0.01615,0.04046,1
0.01784,0.04147,1
0.01967,0.04227,1
0.02163,0.04223,1
0.02009,0.04228,1
0.01826,0.04160,1
0.01651,0.04064,1
0.01476,0.03971,1
0.01404,0.04158,1
0.01333,0.04345,1
0.01262,0.04532,1
0.01159,0.04415,1
0.01125,0.04243,1
0.01022,0.04414,1
0.00919,0.04586,1
0.00816,0.04757,1
0.00655,0.04863,1
0.00593,0.04717,1
0.00511,0.04736,1
0.00398,0.04901,1
0.00284,0.05066,1
0.00171,0.05231,1
0.00058,0.05396,1
-0.00089,0.05524,1
-0.00089,0.05524,0
0.00923,-0.00809,0
0.00923,-0.00809,1
0.00982,-0.00943,1
0.01131,-0.01073,1
0.01258,-0.01230,1
0.01352,-0.01407,1
0.01435,-0.01590,1
0.01543,-0.01748,1
0.01726,-0.01834,1
0.01899,-0.01934,1
0.02061,-0.02054,1
0.02222,-0.02174,1
0.02223,-0.02334,1
0.02113,-0.02484,1
0.01930,-0.02538,1
0.01834,-0.02715,1
0.01765,-0.02882,1
0.01949,-0.02965,1
0.01846,-0.03127,1
0.01731,-0.03293,1
0.01617,-0.03458,1
0.01502,-0.03624,1
0.01388,-0.03790,1
0.01289,-0.03873,1
0.01299,-0.03909,1
0.01417,-0.03746,1
0.01535,-0.03582,1
0.01652,-0.03419,1
0.01770,-0.03256,1
0.01888,-0.03092,1
0.01907,-0.02931,1
0.01762,-0.02840,1
0.01866,-0.02667,1
0.01972,-0.02498,1
0.02162,-0.02471,1
0.02244,-0.02287,1
0.02184,-0.02147,1
0.02013,-0.02040,1
0.01843,-0.01933,1
0.01672,-0.01826,1
0.01501,-0.01719,1
0.01416,-0.01537,1
0.01333,-0.01354,1
0.01229,-0.01183,1
0.01103,-0.01026,1
0.00941,-0.00909,1
0.00978,-0.00814,1
0.01149,-0.00910,1
0.01296,-0.01043,1
0.01388,-0.01222,1
0.01479,-0.01401,1
0.01549,-0.01538,1
0.01463,-0.01357,1
0.01376,-0.01175,1
0.01266,-0.01009,1
0.01127,-0.00866,1
0.00934,-0.00809,1
0.00934,-0.00809,0
-0.00005,0.00412,0
-0.00005,0.00412,1
-0.00157,0.00282,1
-0.00310,0.00152,1
-0.00462,0.00022,1
-0.00614,-0.00108,1
-0.00538,-0.00044,1
-0.00386,0.00086,1
-0.00233,0.00216,1
-0.00081,0.00346,1
0.00029,0.00297,1
-0.00057,0.00140,1
-0.00190,-0.00010,1
-0.00323,-0.00159,1
-0.00457,-0.00308,1
-0.00590,-0.00458,1
-0.00723,-0.00607,1
-0.00856,-0.00756,1
-0.00990,-0.00906,1
-0.01164,-0.01004,1
-0.01345,-0.01026,1
-0.01517,-0.01127,1
-0.01690,-0.01227,1
-0.01863,-0.01328,1
-0.02036,-0.01429,1
-0.02209,-0.01530,1
-0.02382,-0.01631,1
-0.02564,-0.01713,1
-0.02747,-0.01794,1
-0.02930,-0.01876,1
-0.03113,-0.01957,1
-0.03296,-0.02038,1
-0.03479,-0.02119,1
-0.03662,-0.02201,1
-0.03845,-0.02282,1
-0.04028,-0.02363,1
-0.04210,-0.02445,1
-0.04393,-0.02526,1
-0.04575,-0.02610,1
-0.04751,-0.02706,1
-0.04926,-0.02802,1
-0.05102,-0.02898,1
-0.05278,-0.02994,1
-0.05453,-0.03089,1
-0.05629,-0.03185,1
-0.05805,-0.03281,1
-0.05833,-0.03270,1
-0.05687,-0.03133,1
-0.05541,-0.02996,1
-0.05395,-0.02859,1
-0.05235,-0.02739,1
-0.05073,-0.02622,1
-0.04911,-0.02504,1
-0.04749,-0.02387,1
-0.04652,-0.02296,1
-0.04837,-0.02366,1
-0.05014,-0.02459,1
-0.05192,-0.02552,1
-0.05369,-0.02645,1
-0.05546,-0.02738,1
-0.05724,-0.02831,1
-0.05897,-0.02931,1
-0.06066,-0.03037,1
-0.06236,-0.03143,1
-0.06406,-0.03250,1
-0.06575,-0.03356,1
-0.06745,-0.03462,1
-0.06915,-0.03568,1
-0.07085,-0.03674,1
-0.07254,-0.03781,1
-0.07424,-0.03887,1
-0.07593,-0.03994,1
-0.07731,-0.04138,1
-0.07870,-0.04283,1
-0.08008,-0.04427,1
-0.08147,-0.04572,1
-0.08285,-0.04716,1
-0.08424,-0.04861,1
-0.08561,-0.05007,1
-0.08682,-0.05166,1
-0.08803,-0.05325,1
-0.08924,-0.05485,1
-0.09045,-0.05644,1
-0.09122,-0.05746,1
-0.09000,-0.05587,1
-0.08878,-0.05429,1
-0.08756,-0.05270,1
-0.08634,-0.05112,1
-0.08507,-0.04958,1
-0.08368,-0.04813,1
-0.08230,-0.04669,1
-0.08091,-0.04524,1
-0.07953,-0.04380,1
-0.07814,-0.04235,1
-0.07675,-0.04091,1
-0.07527,-0.03958,1
-0.07358,-0.03852,1
-0.07188,-0.03746,1
-0.07018,-0.03639,1
